Title,Price
"HP Zbook 15 G6 Workstation Laptop
Rs. 150,000
Punjab","Rs. 150,000"
"HP Elitebook 840 G5 8GB Ram DDr4 | 256GB SSD NVMe | Fast and Stylish laptop made for work and business, strong performance, and good security to keep your data safe | Perfect for professionals on the go, it delivers productivity witout compromise.
Rs. 78,000
Sindh","Rs. 78,000"
"HP Victus 16-D0023DX Gaming Laptop 13th Gen Core i9-11400H, 64gb DDR4, 4TB SSD, NVIDIA RTX3050 12GB, 16.1"" FHD IPS, Windows 11 Home
Rs. 275,000
Punjab","Rs. 275,000"
"Hp G8 Touch Screen chromebook 9th generation,updated to 2029, 4Gb ddr4 Ram, 32Gb ssd , 8 hours battery backup , with c Type charger
Rs. 11,499
Punjab","Rs. 11,499"
"HP EliteBook 840 G8 Intel® Core™ i5 1145G7 11th Generation 16GB RAM 512GB SSD 14” FHD Win 11 Silver
Rs. 119,999
Coins save Rs. 6,000
Sindh","Rs. 119,999"
"HP PROBOOK 440 G7 CORE I5-10TH GENERATION 16 GB RAM 256 GB SSD
Rs. 80,000
Punjab","Rs. 80,000"
"Lenovo Chromebook 300e - X360 2-in-1 - (FREE STYLUS PEN GIFT) - Touch Laptop and Tab - 4GB Ram - 32GB Storage - Touch x 360° Rotatable - Type C Charger - Auto Update 2027/2029
Rs. 14,999
Coins save Rs. 150
1.5K sold
(379)
Punjab","Rs. 14,999"
"HP Elitebook 840 G7 16GB RAM ddr4 / 256GB SSD modern professionals who demand performance and reliability. Ultra-slim, lightweight, and packed with enterprise-grade security features | Best for Business purpose and for university student
Rs. 99,999
Sindh","Rs. 99,999"
"ASUS ROG Strix – 16” Intel Core i7-13650HX – GeForce RTX 4050 GPU – 16 GB DDR5 – 512 GB PCIe SSD – Windows 11 Home 64-bit – Gaming Laptop (G614JU-NS73 )
Rs. 385,000
Punjab","Rs. 385,000"
"Dell XPS 9370 Intel Core i7-8th Gen - Ram 8 GB - SSD 256 GB - Intel UHD Graphics - 13.3"" FHD Touch LED & 90days Local warranty
Rs. 95,000
Punjab","Rs. 95,000"
